+39320001928;1;2024-08-06 19:09;2430;1,57
+39320007653;1;2022-03-24 08:44;3154;1,80
+39320008783;1;2023-03-04 12:40;3107;0,00
+39320012099;1;2021-04-14 12:04;5301;3,92
+39320006272;1;2024-03-12 19:27;3554;1,10
+39320001929;1;2023-07-29 16:51;2366;2,28
+39320016619;1;2024-09-04 08:43;6460;5,63
+39320011272;1;2025-12-01 20:15;5743;7,46
+39320010492;1;2021-04-30 07:55;1373;0,77
+39320002539;1;2022-03-07 08:38;6564;7,89
+39320008732;1;2024-02-24 04:57;1278;0,00
+39320015693;1;2021-05-06 22:25;2306;2,40
+39320007631;1;2025-03-15 00:43;1832;2,31
+39320009689;1;2025-12-15 22:47;1432;1,29
+39320007765;1;2025-02-21 11:45;2810;2,06
+39320002687;1;2022-10-23 07:52;459;0,39
+39320001348;1;2024-04-19 14:34;5626;1,95
+39320012322;1;2022-09-01 06:00;6950;6,74
+39320002112;1;2021-12-13 12:29;6482;7,06
+39320018920;1;2021-08-02 15:27;434;0,32
+39320001678;1;2025-12-08 19:30;1081;1,11
+39320008152;1;2024-11-08 23:11;1918;2,48
+39320015875;1;2025-01-04 14:54;2657;1,21
+39320015711;1;2024-08-05 02:15;1631;1,61
+39320012338;1;2021-12-17 17:10;3457;2,24
+39320006376;1;2024-11-18 10:31;2072;2,32
+39320002257;1;2021-03-18 16:13;2978;3,15
+39320010861;1;2024-06-30 10:15;1133;1,29
+39320015761;1;2025-07-11 21:54;6282;8,37
+39320017022;1;2023-08-02 16:06;6850;3,86
+39320011791;1;2023-01-13 06:59;5279;2,23
+39320002196;1;2024-10-07 03:16;3162;2,54
+39320014751;1;2024-02-05 12:03;174;0,19
+39320007654;1;2024-05-24 05:21;3440;2,37
+39320005553;1;2024-10-05 02:34;1198;0,53
+39320001931;1;2026-01-02 05:57;6735;6,76
+39320004740;1;2025-04-15 22:53;6207;7,07
+39320008002;1;2022-12-25 04:33;2554;1,87
+39320019693;1;2022-09-23 15:52;6988;6,50
+39320009441;1;2023-12-20 21:46;6485;7,50
+39320015003;1;2021-02-16 15:40;2951;2,77
+39320009368;1;2022-12-30 00:25;4378;4,67
+39320006951;1;2023-10-04 12:14;6915;8,04
+39320009992;1;2026-01-26 20:47;1702;1,19
+39320016567;1;2021-04-26 18:32;3451;1,53
+39320017267;1;2023-03-19 15:52;3917;1,66
+39320002467;1;2025-05-05 01:22;1033;0,65
+39320019147;1;2024-06-28 06:28;3696;3,90
+39320017248;1;2022-09-26 05:42;1669;0,80
+39320003029;1;2021-02-07 21:34;3172;1,88
+39320015244;1;2022-11-27 13:44;4835;5,60
+39320006345;1;2024-08-09 18:54;2501;2,70
+39320007681;1;2025-12-06 04:12;4998;5,02
+39320002524;1;2023-03-22 14:29;3740;2,41
+39320017350;1;2025-03-15 12:15;1003;1,36
+39320004483;1;2022-04-17 14:57;1392;0,37
+39320009827;1;2023-08-18 12:43;50;0,06
+39320007730;1;2023-05-14 13:32;6176;6,47
+39320003581;1;2021-03-06 18:47;6398;6,66
+39320016672;1;2023-04-05 23:22;5702;0,00
+39320007396;1;2024-08-06 21:10;1700;1,14
+39320008109;1;2024-10-19 01:34;3522;0,00
+39320014686;1;2022-01-12 04:36;3831;4,28
+39320004575;1;2023-05-29 00:33;7085;2,10
+39320013288;1;2022-07-03 21:34;5069;3,20
+39320015819;1;2025-03-29 17:48;556;0,19
+39320013089;1;2024-02-22 06:50;1568;1,00
+39320012013;1;2024-06-09 18:44;6776;5,55
+39320005285;1;2025-01-17 01:19;4776;0,00
+39320012018;1;2022-10-22 11:00;6559;7,66
+39320005994;1;2023-06-24 03:01;1787;2,23
+39320002680;1;2025-10-02 20:45;5709;2,27
+39320006498;1;2022-02-17 11:02;4054;3,12
+39320006918;1;2025-05-01 12:41;503;0,54
+39320003507;1;2021-07-11 18:16;237;0,16
+39320004939;1;2025-11-05 03:37;953;1,01
+39320015427;1;2024-11-29 02:08;2775;3,14
+39320010462;1;2022-06-20 18:59;2129;0,60
+39320001426;1;2025-11-02 01:21;2854;2,64
+39320018442;1;2024-09-06 06:24;6386;2,59
+39320014395;1;2025-09-05 00:09;1955;1,37
+39320014879;1;2021-07-14 23:26;2956;3,16
+39320002986;1;2025-02-18 03:05;1670;1,97
+39320018387;1;2022-08-09 13:04;5594;6,73
+39320011837;1;2021-07-30 08:39;663;0,40
+39320011035;1;2022-06-24 01:40;2322;3,09
+39320018321;1;2022-08-12 16:14;2610;0,89
+39320010388;1;2021-08-15 18:52;753;0,70
+39320009618;1;2023-05-13 13:27;5062;6,16
+39320019331;1;2021-08-11 19:17;668;0,84
+39320001083;1;2022-03-08 02:20;6099;6,80
+39320000653;1;2024-02-11 10:52;3947;4,64
+39320000706;1;2025-05-09 17:35;6147;6,22
+39320015004;1;2023-06-30 07:41;491;0,67
+39320002688;1;2026-01-30 02:53;1847;1,56
+39320009710;1;2025-08-25 02:52;6719;6,52
+39320008288;1;2023-04-29 10:57;4079;0,00
+39320007856;1;2026-02-27 08:38;1043;0,57
+39320013728;1;2025-01-02 10:21;2019;0,66
+39320009823;1;2024-04-23 01:22;6121;5,20
+39320003191;1;2023-01-31 09:03;82;0,08
+39320000655;1;2021-01-16 11:15;5376;2,27
+39320007051;1;2026-04-12 00:15;4230;5,43
+39320002235;1;2025-10-11 18:02;6920;3,24
+39320005366;1;2022-01-14 06:40;3579;3,34
+39320004610;1;2024-04-20 21:17;997;0,28
+39320015181;1;2025-02-05 10:06;4935;2,35
