+39320000001;443
+39320000003;2962
+39320000005;5316
+39320000007;1067
+39320000009;4899
+39320000011;3294
+39320000013;1793
+39320000015;4918
+39320000017;1352
+39320000019;2934
+39320000021;3273
+39320000023;26
+39320000025;240
+39320000027;5264
+39320000029;2893
+39320000031;492
+39320000033;5592
+39320000035;1338
+39320000037;1195
+39320000039;5144
+39320000041;1761
+39320000043;2673
+39320000045;2393
+39320000047;642
+39320000049;4355
+39320000051;319
+39320000053;5675
+39320000055;4236
+39320000057;454
+39320000059;1019
+39320000061;266
+39320000063;458
+39320000065;2839
+39320000067;2358
+39320000069;1781
+39320000071;2940
+39320000073;3976
+39320000075;1675
+39320000077;4304
+39320000079;1231
+39320000081;5871
+39320000083;5569
+39320000085;4311
+39320000087;3069
+39320000089;4389
+39320000091;1190
+39320000093;1538
+39320000095;1131
+39320000097;2248
+39320000099;4807
+39320000101;806
+39320000103;1512
+39320000105;2991
+39320000107;5616
+39320000109;4324
+39320000111;5418
+39320000113;2756
+39320000115;4847
+39320000117;439
+39320000119;1015
+39320000121;5963
+39320000123;5083
+39320000125;2484
+39320000127;4110
+39320000129;846
+39320000131;2773
+39320000133;5804
+39320000135;4198
+39320000137;4793
+39320000139;5840
+39320000141;249
+39320000143;1115
+39320000145;2360
+39320000147;2379
+39320000149;2723
+39320000151;3383
+39320000153;2958
+39320000155;2886
+39320000157;1723
+39320000159;2724
+39320000161;637
+39320000163;4159
+39320000165;1098
+39320000167;3658
+39320000169;2701
+39320000171;3702
+39320000173;4039
+39320000175;4705
+39320000177;3030
+39320000179;5800
+39320000181;1776
+39320000183;1215
+39320000185;4807
+39320000187;2034
+39320000189;3849
+39320000191;139
+39320000193;5822
+39320000195;2711
+39320000197;4913
+39320000199;4484
+39320000201;4662
+39320000203;3408
+39320000205;2172
+39320000207;864
+39320000209;1086
+39320000211;4617
+39320000213;3455
+39320000215;4002
+39320000217;2702
+39320000219;1810
+39320000221;244
+39320000223;3689
+39320000225;2158
+39320000227;170
+39320000229;1015
+39320000231;1253
+39320000233;5566
+39320000235;2952
+39320000237;514
+39320000239;3013
+39320000241;5680
+39320000243;2263
+39320000245;5218
+39320000247;457
+39320000249;2986
+39320000251;1971
+39320000253;2893
+39320000255;2754
+39320000257;2978
+39320000259;1534
+39320000261;3473
+39320000263;5435
+39320000265;3055
+39320000267;5390
+39320000269;3396
+39320000271;442
+39320000273;5019
+39320000275;63
+39320000277;4755
+39320000279;4118
+39320000281;5878
+39320000283;1645
+39320000285;727
+39320000287;2700
+39320000289;4580
+39320000291;1299
+39320000293;5883
+39320000295;4776
+39320000297;3202
+39320000299;378
+39320000301;5046
+39320000303;1987
+39320000305;5474
+39320000307;295
+39320000309;4240
+39320000311;4475
+39320000313;5564
+39320000315;720
+39320000317;3045
+39320000319;4520
+39320000321;641
+39320000323;3026
+39320000325;1418
+39320000327;3325
+39320000329;270
+39320000331;1555
+39320000333;1944
+39320000335;4674
+39320000337;4094
+39320000339;1515
