1;SIM00015170;+39320014648;2021-05-17;;ATTIVA
2;SIM00017603;+39320007601;2023-08-23;;ATTIVA
3;SIM00015246;+39320015601;2025-11-02;;ATTIVA
4;SIM00001989;+39320003421;2022-02-25;;ATTIVA
5;SIM00008121;+39320009387;2025-04-04;;ATTIVA
6;SIM00020538;+39320008381;2023-01-11;;ATTIVA
7;SIM00015126;+39320006062;2022-01-21;;ATTIVA
8;SIM00003426;+39320003724;2025-09-22;;ATTIVA
9;SIM00006742;+39320009460;2022-06-23;;ATTIVA
10;SIM00024676;+39320000738;2025-11-05;;ATTIVA
11;SIM00003636;+39320005126;2025-03-12;;ATTIVA
12;SIM00002896;+39320001362;2025-12-15;;ATTIVA
13;SIM00024965;+39320019473;2023-01-21;;ATTIVA
14;SIM00019198;+39320005562;2025-08-20;;ATTIVA
15;SIM00010123;+39320002099;2026-01-11;;ATTIVA
16;SIM00020946;+39320001919;2023-12-20;;ATTIVA
17;SIM00004381;+39320004247;2025-10-05;;ATTIVA
18;SIM00022711;+39320016428;2021-06-13;;ATTIVA
19;SIM00014942;+39320008072;2021-05-20;;ATTIVA
20;SIM00002526;+39320008514;2025-07-31;;ATTIVA
21;SIM00001464;+39320016812;2023-02-28;;ATTIVA
22;SIM00002001;+39320013784;2023-04-30;;ATTIVA
23;SIM00006482;+39320006161;2025-03-20;;ATTIVA
24;SIM00013723;+39320012201;2026-02-20;;ATTIVA
25;SIM00012630;+39320010410;2022-11-12;;ATTIVA
26;SIM00014126;+39320014472;2025-07-22;;ATTIVA
27;SIM00000298;+39320016154;2025-12-11;;ATTIVA
28;SIM00014225;+39320010297;2023-07-20;;ATTIVA
29;SIM00006875;+39320008518;2024-06-21;;ATTIVA
30;SIM00004979;+39320006171;2021-12-21;;ATTIVA
31;SIM00018206;+39320014866;2023-09-21;;ATTIVA
32;SIM00023034;+39320005881;2021-04-11;;ATTIVA
33;SIM00024526;+39320019536;2023-12-25;;ATTIVA
34;SIM00015475;+39320010442;2021-09-01;;ATTIVA
35;SIM00020298;+39320009474;2021-03-05;;ATTIVA
36;SIM00017166;+39320002100;2023-02-17;;ATTIVA
37;SIM00018270;+39320005422;2022-09-13;;ATTIVA
38;SIM00002137;+39320010594;2022-04-18;;ATTIVA
39;SIM00024942;+39320005753;2024-03-08;;ATTIVA
40;SIM00011513;+39320003184;2022-10-09;;ATTIVA
41;SIM00019140;+39320002634;2024-06-11;;ATTIVA
42;SIM00008943;+39320003904;2025-10-27;;ATTIVA
43;SIM00023337;+39320012966;2022-11-16;;ATTIVA
44;SIM00021999;+39320019099;2021-08-01;;ATTIVA
45;SIM00011031;+39320014420;2021-09-27;;ATTIVA
46;SIM00014048;+39320006223;2025-01-05;;ATTIVA
47;SIM00024231;+39320012962;2022-04-16;;ATTIVA
48;SIM00002013;+39320013129;2023-04-21;;ATTIVA
49;SIM00012921;+39320012135;2023-06-05;;ATTIVA
50;SIM00018747;+39320008921;2025-07-18;;ATTIVA
51;SIM00020804;+39320000116;2024-11-22;;ATTIVA
52;SIM00011116;+39320017209;2021-12-05;;ATTIVA
53;SIM00010624;+39320001094;2022-04-17;;ATTIVA
54;SIM00021288;+39320001405;2023-09-23;;ATTIVA
55;SIM00023506;+39320009125;2022-07-09;;ATTIVA
56;SIM00019395;+39320006462;2021-04-25;;ATTIVA
57;SIM00018619;+39320016773;2022-05-31;;ATTIVA
58;SIM00003525;+39320012934;2021-03-10;;ATTIVA
59;SIM00010826;+39320010824;2025-02-23;;ATTIVA
60;SIM00005821;+39320006009;2023-04-03;;ATTIVA
61;SIM00024991;+39320013351;2024-03-14;;ATTIVA
